Edge TPU Compiler version 16.0.384591198
Input: models/tflite/MobileNetV2.tflite
Output: models/tflite/MobileNetV2_edgetpu.tflite

Operator                       Count      Status

MEAN                           1          Mapped to Edge TPU
DEPTHWISE_CONV_2D              17         Mapped to Edge TPU
QUANTIZE                       2          Mapped to Edge TPU
CONV_2D                        35         Mapped to Edge TPU
FULLY_CONNECTED                1          Mapped to Edge TPU
LOGISTIC                       1          Mapped to Edge TPU
ADD                            10         Mapped to Edge TPU
PAD                            4          Mapped to Edge TPU
